location,year,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
Saint Kitts and Nevis,2021,334302.0,2806.0,2801.02,2611.0,28.0,28.014,59478.618,58849.437,58744.584,587.236,587.234,587.216,211.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4278501.0,13712.0,89873.148,288.029,35021.0,735.633,10.0181,5226.9,2428713.0,1266988.0,999412.0,7214.0,6553.0,55709.0,115.07,57.92,53.73,15.14,1168351.0,28542.0,59.882,0.0,77695.725,0.0,0.0,0.0,8998850.524999999,0.0,0.0,4686.6,0.0,0.0,0.0,839.4999999999999,27823.95,284.33500000000004,17403565.0,512.3,83.48,321.31,10755.6005
Saint Kitts and Nevis,2022,2169903.0,3726.0,3731.002,15561.0,18.0,18.003999999999998,137622.953,78144.336,78249.203,964.745,377.509,377.503,238.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3997522.0,1915.0,83970.972,40.226,34512.0,724.929,15.3673,20750.2,761261.0,384831.0,340540.0,35890.0,0.0,9589.0,134.85,70.88,56.63,75.28,201166.0,6157.0,12.974,0.0,77695.725,0.0,0.0,0.0,8998850.524999999,0.0,0.0,4686.6,0.0,0.0,0.0,839.4999999999999,27823.95,284.33500000000004,17403565.0,1502.0,171.13,248.76999999999998,31501.0166
Saint Kitts and Nevis,2023,2409301.0,45.0,45.01,16790.0,0.0,0.0,138566.725,943.773,943.768,964.745,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,77695.725,0.0,0.0,0.0,8998850.524999999,0.0,0.0,4686.6,0.0,0.0,0.0,839.4999999999999,27823.95,284.33500000000004,17403565.0,0.0,0.0,0.0,0.0
Saint Kitts and Nevis,2024,508739.0,0.0,0.0,3542.0,0.0,0.0,138566.725,0.0,0.0,964.745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,16390.605,0.0,0.0,0.0,1898387.6449999998,0.0,0.0,988.68,0.0,0.0,0.0,177.1,5869.71,59.983000000000004,3671437.0,0.0,0.0,0.0,0.0
Saint Lucia,2020,17702.0,305.0,297.86899999999997,144.0,5.0,5.005,1695.65,1695.656,1655.914,27.798,27.798,27.790000000000003,49.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,106133.694,12633.8,3519.002,2318.61,4688565.718,0.0,74072.44,4206.44,0.0,0.0,31567.124,470.6,27584.4,274.758,65113664.0,0.0,0.0,0.0,0.0
Saint Lucia,2021,2440513.0,12970.0,12957.27,42422.0,290.0,289.439,73802.482,72106.83,72036.16,1640.055,1612.269,1609.063,404.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9138281.0,4916438.0,3754284.0,0.0,25380.0,105125.0,58.37,30.96,27.42,0.0,584441.0,55980.0,31.133,0.0,107013.255,12738.5,3548.165,2337.8250000000003,4727421.235,0.0,74686.3,4241.299999999999,0.0,0.0,31828.73,474.5,27813.0,277.035,65653280.0,0.0,0.0,0.0,0.0
Saint Lucia,2022,9374046.0,16473.0,16492.859,137173.0,114.0,114.594,165384.273,91581.793,91692.208,2273.839,633.79,636.922,295.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6072050.0,1562.0,33798.958,8.693,72486.0,403.478,11.8502,1905.6,7609576.0,3841960.0,3472577.0,310758.0,979.0,18221.0,68.37,33.43,30.56,172.76,101323.0,4536.0,2.508,0.0,107013.255,12738.5,3548.165,2337.8250000000003,4727421.235,0.0,74686.3,4241.299999999999,0.0,0.0,31828.73,474.5,27813.0,277.035,65653280.0,0.0,0.0,0.0,0.0
Saint Lucia,2023,10955337.0,304.0,304.003,149285.0,0.0,0.0,167074.364,1690.0900000000001,1690.08,2273.839,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,107013.255,12738.5,3548.165,2337.8250000000003,4727421.235,0.0,74686.3,4241.299999999999,0.0,0.0,31828.73,474.5,27813.0,277.035,65653280.0,0.0,0.0,0.0,0.0
Saint Lucia,2024,2314949.0,21.0,21.0,31493.0,0.0,0.0,167191.114,116.75099999999999,116.74600000000001,2273.839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,22575.399,2687.2999999999997,748.517,493.185,997291.603,0.0,15755.74,894.7399999999999,0.0,0.0,6714.554,100.10000000000001,5867.400000000001,58.443,13850144.0,0.0,0.0,0.0,0.0
Saint Martin (French part),2020,76463.0,986.0,975.148,1600.0,12.0,12.011999999999999,30990.697,30990.696,30649.446,377.169,377.168,377.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,213772.946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29712.96,0.0,11517392.0,0.0,0.0,0.0,0.0
Saint Martin (French part),2021,937142.0,3132.0,3136.718,8987.0,27.0,26.877,129431.732,98441.039,98589.216,1225.798,848.631,844.1270000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,215544.545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29959.2,0.0,11612840.0,0.0,0.0,0.0,0.0
Saint Martin (French part),2022,3922263.0,8062.0,8068.169,16307.0,7.0,7.1499999999999995,382826.251,253394.519,253587.6,1445.813,220.017,224.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,215544.545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29959.2,0.0,11612840.0,0.0,0.0,0.0,0.0
Saint Martin (French part),2023,4489244.0,144.0,143.99699999999999,16790.0,0.0,0.0,387352.276,4526.023,4526.032,1445.813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,215544.545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29959.2,0.0,11612840.0,0.0,0.0,0.0,0.0
